SYMBOL,NAME_OF_COMPANY,P/E Ratio,Debt-to-Equity,ROE (%),Earnings Growth,Market Cap,Sector,Industry
20MICRONS,20 Microns Limited,11.507256,34.138,,0.123,7001310208.0,Basic Materials,Other Industrial Metals & Mining
21STCENMGM,21st Century Management Services Limited,1.8959323,,,,753689984.0,Financial Services,Capital Markets
360ONE,360 ONE WAM LIMITED,32.099396,278.92,,0.336,333893894144.0,Financial Services,Asset Management
3IINFOLTD,3i Infotech Limited,,27.58,,,3765719808.0,Technology,Information Technology Services
3MINDIA,3M India Limited,55.241333,6.174,,-0.159,319543902208.0,Industrials,Conglomerates
3PLAND,3P Land Holdings Limited,,,,,,,
5PAISA,5Paisa Capital Limited,18.21612,29.297,,0.06,11103859712.0,Financial Services,Capital Markets
63MOONS,63 moons technologies limited,,0.207,,,35473530880.0,Technology,Software - Application
A2ZINFRA,A2Z Infra Engineering Limited,67.28571,492.192,,,2495386368.0,Industrials,Engineering & Construction
AAATECH,AAA Technologies Limited,38.317074,,,-0.623,1007545152.0,Technology,Information Technology Services
AADHARHFC,Aadhar Housing Finance Limited,27.871748,248.777,,0.086,194058092544.0,Financial Services,Mortgage Finance
AAKASH,Aakash Exploration Services Limited,1.2911813,29.875,,-0.375,785700032.0,Energy,Oil & Gas Equipment & Services
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,22.592417,28.505,,-0.36,1359529216.0,Healthcare,Drug Manufacturers - Specialty & Generic
AARON,Aaron Industries Limited,46.731544,89.772,,0.496,3646244608.0,Industrials,Specialty Industrial Machinery
AARTECH,Aartech Solonics Limited,43.365078,13.483,,2.107,1757178624.0,Industrials,Electrical Equipment & Parts
AARTIDRUGS,Aarti Drugs Limited,20.030083,46.181,,0.017,30405588992.0,Healthcare,Drug Manufacturers - Specialty & Generic
AARTIIND,Aarti Industries Limited,36.96146,71.339,,-0.629,135600603136.0,Basic Materials,Specialty Chemicals
AARTIPHARM,Aarti Pharmalabs Limited,25.285246,20.815,,0.402,63068082176.0,Healthcare,Drug Manufacturers - Specialty & Generic
AARTISURF,Aarti Surfactants Limited,38.504925,50.869,,-0.879,3649484544.0,Basic Materials,Specialty Chemicals
AARVEEDEN,Aarvee Denims & Exports Limited,18.830647,397.884,,,3286718208.0,Consumer Cyclical,Textile Manufacturing
AARVI,Aarvi Encon Limited,15.3742695,28.251,,-0.012,1554685440.0,Industrials,Staffing & Employment Services
AAVAS,Aavas Financiers Limited,28.898746,308.257,,0.253,162473787392.0,Financial Services,Mortgage Finance
ABAN,Aban Offshore Limited,,,,,2213212160.0,Energy,Oil & Gas Drilling
ABB,ABB India Limited,57.62637,0.733,28.796,0.56,1080626315264.0,Industrials,Specialty Industrial Machinery
ABBOTINDIA,Abbott India Limited,46.294224,1.718,,0.16,618517037056.0,Healthcare,Drug Manufacturers - Specialty & Generic
ABCAPITAL,Aditya Birla Capital Limited,13.285814,399.158,,-0.043,490795696128.0,Financial Services,Financial Conglomerates
ABDL,Allied Blenders and Distillers Limited,2382.6924,51.119,,,86640181248.0,Consumer Defensive,Beverages - Wineries & Distilleries
ABFRL,Aditya Birla Fashion and Retail Limited,,243.78,,,314054049792.0,Consumer Cyclical,Apparel Manufacturing
ABINFRA,A B Infrabuild Limited,51.0289,54.339,,0.381,5209632256.0,Industrials,Engineering & Construction
ABMINTLLTD,ABM International Limited,277.8333,124.989,,,470494080.0,Basic Materials,Specialty Chemicals
ABREL,Aditya Birla Real Estate Limited,151.75859,115.735,,,210258870272.0,Basic Materials,Paper & Paper Products
ABSLAMC,Aditya Birla Sun Life AMC Limited,20.777779,2.294,,0.07,188816048128.0,Financial Services,Asset Management
ACC,ACC Limited,14.265091,2.735,,1.031,369245618176.0,Basic Materials,Building Materials
ACCELYA,Accelya Solutions India Limited,20.041092,10.128,33.332002,0.046,19322255360.0,Technology,Information Technology Services
ACCURACY,Accuracy Shipping Limited,10.3125,96.157,,,1242119936.0,Industrials,Integrated Freight & Logistics
ACE,Action Construction Equipment Limited,38.600674,8.237,,0.266,150350921728.0,Industrials,Farm & Heavy Construction Machinery
ACEINTEG,Ace Integrated Solutions Limited,41.37705,2.2,,,257448000.0,Industrials,Staffing & Employment Services
ACI,Archean Chemical Industries Limited,38.903347,8.602,9.965,-0.529,64695676928.0,Basic Materials,Chemicals
ACL,Andhra Cements Limited,,293.077,,,5070386688.0,Basic Materials,Building Materials
ACLGATI,Allcargo Gati Limited,,28.116,,-0.934,8308634624.0,Industrials,Integrated Freight & Logistics
ACMESOLAR,Acme Solar Holdings Limited,,546.496,,1.613,116067983360.0,Utilities,Utilities - Renewable
ADANIENSOL,Adani Energy Solutions Limited,126.19678,178.762,,0.661,1033256697856.0,Utilities,Utilities - Independent Power Producers
ADANIENT,Adani Enterprises Limited,78.10806,168.936,,-0.97,2695773814784.0,Energy,Thermal Coal
ADANIGREEN,Adani Green Energy Limited,117.98212,306.013,,1.056,1464093638656.0,Utilities,Utilities - Renewable
ADANIPORTS,Adani Ports and Special Economic Zone Limited,24.537394,85.449,,0.142,2483180535808.0,Industrials,Marine Shipping
ADANIPOWER,Adani Power Limited,16.482512,65.013,,0.16,2054013321216.0,Utilities,Utilities - Independent Power Producers
ADFFOODS,ADF Foods Limited,32.545452,11.537,,-0.028,25565351936.0,Consumer Defensive,Packaged Foods
ADL,Archidply Decor Limited,199.7436,44.556,,-0.9,433610880.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
