Date,Open,High,Low,close,Volume
2020-01-01,20.0,20.5,19.5,20.0,80098
2020-01-02,21.0,21.5,19.5,20.0,291160
2020-01-03,23.0,24.5,20.5,21.0,1055306
2020-01-06,21.5,23.0,21.0,23.0,284506
2020-01-07,22.5,23.5,21.5,22.0,769527
2020-01-08,27.0,27.0,21.5,22.0,1266463
2020-01-09,25.5,29.5,24.5,28.5,868913
2020-01-10,24.0,25.5,23.5,25.0,528462
2020-01-13,25.0,25.5,23.5,23.5,172845
2020-01-14,25.5,26.0,25.0,25.0,148895
2020-01-15,24.5,25.5,24.0,25.5,110981
2020-01-16,23.5,24.5,23.5,24.0,120676
2020-01-17,24.0,24.0,23.0,23.5,64196
2020-01-20,25.0,26.0,23.5,23.5,296888
2020-01-21,24.5,25.5,24.5,25.0,80212
2020-01-22,24.0,25.0,24.0,24.5,90036
2020-01-23,24.5,26.0,24.0,24.0,178157
2020-01-24,24.5,25.0,24.0,25.0,98349
2020-01-27,23.0,25.0,23.0,24.0,248186
2020-01-28,23.0,24.0,22.5,23.5,198637
2020-01-29,22.5,24.0,22.5,23.0,152795
2020-01-30,22.5,23.5,22.5,22.5,82643
2020-01-31,22.5,23.5,22.5,23.0,80111
2020-02-03,21.5,22.0,20.5,22.0,120613
2020-02-04,23.0,24.0,21.5,21.5,167717
2020-02-05,22.5,23.5,21.5,23.5,79582
2020-02-06,22.0,22.5,21.5,22.0,114654
2020-02-07,24.0,25.0,21.5,21.5,162665
2020-02-10,22.0,25.0,21.5,24.5,447939
2020-02-11,22.0,23.0,21.5,22.0,133293
2020-02-12,22.0,22.5,21.5,22.0,88864
2020-02-13,21.5,22.0,21.5,22.0,63383
2020-02-14,20.5,22.0,20.5,21.5,201503
2020-02-17,21.0,21.0,20.5,20.5,112179
2020-02-18,20.5,21.0,20.0,21.0,108097
2020-02-19,20.0,21.0,20.0,20.5,78557
2020-02-20,21.5,22.5,20.0,20.5,320890
2020-02-24,21.5,22.0,21.0,21.5,107410
2020-02-25,21.5,22.0,21.0,21.0,104431
2020-02-26,20.5,21.5,20.0,21.0,156546
2020-02-27,20.0,21.0,19.5,21.0,179838
2020-02-28,19.5,20.0,19.0,20.0,125356
2020-03-02,19.0,20.5,19.0,20.0,165981
2020-03-03,19.5,19.5,18.0,19.5,198434
2020-03-04,18.5,19.5,18.5,19.5,99845
2020-03-05,19.0,19.5,18.5,18.5,74046
2020-03-06,17.5,18.5,17.0,18.5,232111
2020-03-09,17.0,18.0,16.5,17.5,303361
2020-03-11,17.5,18.0,16.5,17.5,250577
2020-03-12,16.5,17.0,16.0,17.0,244434
2020-03-13,16.5,16.5,14.0,15.5,320384
2020-03-16,17.5,18.0,15.5,16.5,242862
2020-03-17,16.5,18.0,16.5,17.5,174622
2020-03-18,15.0,17.0,15.0,17.0,209328
2020-03-19,15.0,15.0,14.0,15.0,134178
2020-03-20,14.0,15.0,13.5,14.5,264606
2020-03-23,12.0,13.5,12.0,13.0,342862
2020-03-24,12.0,13.0,11.5,12.5,211295
2020-03-25,13.0,13.5,11.5,12.0,193991
2020-03-26,13.5,14.0,13.0,13.0,222936
2020-03-27,13.5,14.5,13.5,13.5,197184
2020-03-30,13.5,14.0,13.0,13.5,135444
2020-03-31,13.0,14.0,13.0,14.0,101357
2020-04-01,12.5,13.5,12.5,13.5,238860
2020-04-03,13.0,13.0,12.0,13.0,244573
2020-04-07,13.5,14.0,13.0,13.5,339474
2020-04-08,12.5,13.5,12.0,13.5,279330
2020-04-09,12.5,13.5,12.0,12.5,445420
2020-04-13,12.5,13.0,12.0,13.0,365656
2020-04-15,12.0,13.5,11.5,13.0,721189
2020-04-16,14.0,14.0,12.0,12.5,720165
