Date,Open,High,Low,close,Volume
2020-01-01,1209.2041015625,1236.7071421724745,1169.3638313686004,1169.3638313686004,2998
2020-01-02,1238.70654296875,1258.1146926583563,1213.30049987055,1219.1033843588723,1301
2020-01-03,1222.8094482421875,1297.0284349494057,1219.2008309638873,1291.2742434376744,570
2020-01-06,1181.213623046875,1222.8094525028873,1170.290385771464,1222.8094525028873,270
2020-01-07,1215.738525390625,1242.5099840986911,1194.7211385564337,1211.3009421119107,717
2020-01-08,1182.676513671875,1214.226883170967,1171.3144471392222,1214.226883170967,509
2020-01-09,1241.1446533203125,1262.991008081523,1165.4627449092045,1165.4627449092045,1306
2020-01-10,1279.034423828125,1311.7552053828779,1231.7820255751485,1267.8186730014313,2002
2020-01-13,1337.55126953125,1365.4444470373978,1288.3483101523304,1315.5587184090043,1537
2020-01-14,1397.3848876953125,1403.431591894627,1358.5685945164805,1365.3955723783724,1141
2020-01-15,1405.7236328125,1433.665504725413,1380.0249586302446,1404.4070250371394,1431
2020-01-16,1447.07568359375,1461.9487445371735,1423.912719829402,1423.912719829402,1238
2020-01-17,1485.794189453125,1509.7374242614362,1447.075518893996,1447.075518893996,1088
2020-01-20,1442.686767578125,1495.4495317519506,1438.5418165811961,1485.550389678087,1485
2020-01-21,1408.35693359375,1460.9733840149902,1395.7757638193248,1415.4764253817493,642
2020-01-22,1404.5045166015625,1435.6160568618293,1404.4070121474417,1422.6447500311888,462
2020-01-23,1395.9222412109375,1422.986337397701,1390.7531950387242,1410.3563544120364,326
2020-01-24,1467.41015625,1487.3059448308056,1414.1597508227333,1414.1597508227333,960
2020-01-27,1451.1229248046875,1521.4407725994774,1438.5417561437366,1521.4407725994774,363
2020-01-28,1438.5419921875,1472.2380573206433,1415.1352072298728,1426.2046421388043,361
2020-01-29,1475.3099365234375,1477.5531341172455,1427.2772686321673,1427.2772686321673,324
2020-01-30,1445.027587890625,1509.737569058725,1423.9126943318727,1509.737569058725,435
2020-01-31,1425.8631591796875,1452.9272512913403,1386.9006669861144,1386.9006669861144,262
2020-02-03,1368.3214111328125,1419.0361034912632,1367.8337698601351,1370.5646086083466,247
2020-02-04,1384.9012451171875,1438.4929745517356,1365.3955937775088,1370.1256904167715,266
2020-02-05,1365.590576171875,1392.7034786291508,1351.0101496996017,1360.519154543183,275
2020-02-06,1384.9012451171875,1443.4181991362236,1353.9360236154475,1437.5176919847518,689
2020-02-07,1352.3270263671875,1375.1486663426365,1349.7913150483753,1366.3711216638537,157
2020-02-10,1365.88330078125,1393.6788552776911,1317.9481364969524,1393.6788552776911,477
2020-02-11,1379.3909912109375,1384.9013619900304,1350.7664692649241,1365.3957090042554,273
2020-02-12,1393.7763671875,1398.5552758318458,1367.3462320196986,1379.0008116970757,530
2020-02-13,1480.0889892578125,1510.7128895907952,1404.4070761851162,1414.3062193174503,3879
2020-02-14,1468.336669921875,1550.6992324785265,1462.923804225025,1550.6992324785265,1052
2020-02-17,1463.36279296875,1487.306029457635,1462.9239634009525,1478.5284856772294,1037
2020-02-18,1429.2767333984375,1531.1937710239147,1403.4317429958046,1458.4864013454728,1827
2020-02-19,1431.178466796875,1443.4183115873009,1411.721625690958,1411.721625690958,2062
2020-02-20,1420.2554931640625,1433.6656308677575,1414.2574804896142,1428.789217157323,253
2020-02-24,1403.1392822265625,1428.789266856895,1387.8273902644107,1417.866147386795,523
2020-02-25,1361.2020263671875,1419.0851502627972,1347.3530595507582,1419.0851502627972,708
2020-02-26,1335.35693359375,1365.444498066754,1316.6315546598105,1364.4204036807962,601
2020-02-27,1324.3363037109375,1354.5700651638501,1293.2247640826517,1343.9882724659417,124
2020-02-28,1260.30908203125,1286.3978945244487,1229.8314973429337,1271.1346963019269,727
