Date,Open,High,Low,close,Volume
2020-01-01,195.10000610351562,196.35000610351562,183.0,194.0,8465
2020-01-02,192.0,203.0,187.39999389648438,202.9499969482422,4057
2020-01-03,182.39999389648438,192.14999389648438,182.39999389648438,192.14999389648438,2240
2020-01-06,173.3000030517578,182.0,173.3000030517578,182.0,1289
2020-01-07,167.14999389648438,171.0,164.64999389648438,170.0,8297
2020-01-08,163.10000610351562,166.89999389648438,160.4499969482422,165.0,1091
2020-01-09,171.25,171.25,164.10000610351562,166.89999389648438,1138
2020-01-10,179.8000030517578,179.8000030517578,171.3000030517578,179.8000030517578,931
2020-01-13,183.5,188.75,181.6999969482422,188.6999969482422,2772
2020-01-14,183.85000610351562,183.9499969482422,174.75,175.85000610351562,824
2020-01-15,182.1999969482422,190.0,176.0,183.85000610351562,22546
2020-01-16,180.14999389648438,187.35000610351562,177.6999969482422,182.1999969482422,1972
2020-01-17,182.85000610351562,184.9499969482422,177.8000030517578,184.9499969482422,341
2020-01-20,178.0,188.85000610351562,175.1999969482422,175.1999969482422,2413
2020-01-21,183.89999389648438,185.39999389648438,172.0,172.0,1514
2020-01-22,177.14999389648438,184.6999969482422,177.0,177.64999389648438,2143
2020-01-23,179.35000610351562,183.0,173.4499969482422,182.9499969482422,790
2020-01-24,180.10000610351562,184.89999389648438,178.1999969482422,179.35000610351562,647
2020-01-27,177.5,186.0,176.3000030517578,180.89999389648438,443
2020-01-28,173.89999389648438,181.0,170.0,171.0,1654
2020-01-29,179.60000610351562,182.5500030517578,172.10000610351562,173.89999389648438,3824
2020-01-30,173.35000610351562,183.0,172.6999969482422,183.0,714
2020-01-31,175.0,178.89999389648438,172.0,172.0,1654
2020-02-03,170.39999389648438,175.5,170.0500030517578,171.85000610351562,691
2020-02-04,170.8000030517578,177.25,165.1999969482422,168.0,1497
2020-02-05,169.1999969482422,178.89999389648438,168.10000610351562,175.0,538
2020-02-06,173.89999389648438,184.4499969482422,163.35000610351562,168.35000610351562,645
2020-02-07,170.9499969482422,183.89999389648438,161.0,175.0,382
2020-02-10,165.4499969482422,171.0,165.0500030517578,171.0,1633
2020-02-11,166.35000610351562,178.25,160.0500030517578,178.25,2786
2020-02-12,165.0,172.89999389648438,165.0,172.89999389648438,620
2020-02-13,170.39999389648438,174.9499969482422,165.9499969482422,174.9499969482422,531
2020-02-14,169.3000030517578,177.9499969482422,167.9499969482422,174.0500030517578,758
2020-02-17,152.39999389648438,168.3000030517578,152.39999389648438,168.3000030517578,2582
2020-02-18,137.1999969482422,150.0,137.1999969482422,150.0,4065
2020-02-19,135.6999969482422,144.0,126.5999984741211,137.1999969482422,1315
2020-02-20,145.35000610351562,146.8000030517578,134.8000030517578,136.60000610351562,2751
2020-02-24,137.0,145.35000610351562,130.85000610351562,145.35000610351562,8829
2020-02-25,135.5,139.89999389648438,132.25,139.89999389648438,365
2020-02-26,135.0,143.89999389648438,123.5,123.5,501
2020-02-27,134.10000610351562,140.0,125.0,127.19999694824219,721
2020-02-28,131.39999389648438,135.0,130.0,135.0,395
2020-03-02,131.75,144.5,121.25,131.39999389648438,2489
2020-03-03,131.10000610351562,139.85000610351562,125.5999984741211,139.85000610351562,1022
2020-03-04,130.75,135.0,126.0,127.0,405
2020-03-05,130.0500030517578,136.0,121.0,129.0,805
2020-03-06,120.1500015258789,131.0,117.0999984741211,131.0,2318
2020-03-09,112.19999694824219,129.85000610351562,110.19999694824219,119.0,3273
2020-03-11,114.94999694824219,117.80000305175781,112.0,117.80000305175781,754
2020-03-12,111.0,112.94999694824219,109.25,112.94999694824219,2303
2020-03-13,105.44999694824219,109.1500015258789,105.44999694824219,109.1500015258789,1882
2020-03-16,101.6500015258789,104.5999984741211,100.19999694824219,104.5999984741211,742
2020-03-17,98.1500015258789,101.30000305175781,98.0,98.19999694824219,143
2020-03-18,95.9000015258789,98.19999694824219,94.0,98.19999694824219,800
2020-03-19,91.1500015258789,94.0,91.1500015258789,94.0,507
2020-03-20,90.8499984741211,94.0,87.0,94.0,1206
2020-03-23,86.3499984741211,95.0,86.3499984741211,90.8499984741211,6750
2020-03-24,82.05000305175781,84.30000305175781,82.05000305175781,83.0,919
2020-03-25,77.94999694824219,83.9000015258789,77.94999694824219,78.0,303524
2020-03-26,74.0999984741211,77.94999694824219,74.0999984741211,77.94999694824219,2462
2020-03-27,73.0999984741211,75.8499984741211,70.69999694824219,74.0999984741211,72306
2020-03-30,71.80000305175781,75.9000015258789,69.44999694824219,72.0999984741211,238237
