Date,Open,High,Low,close,Volume
2020-01-01,46.0,46.0,46.0,46.0,0
2020-01-02,46.0,46.0,46.0,46.0,0
2020-01-03,46.0,46.0,46.0,46.0,0
2020-01-06,46.0,46.0,46.0,46.0,0
2020-01-07,42.0,42.0,42.0,42.0,3900
2020-01-08,40.0,40.0,40.0,40.0,3900
2020-01-09,38.0,38.0,38.0,38.0,2700
2020-01-10,37.0,37.0,37.0,37.0,100
2020-01-13,36.0,36.0,36.0,36.0,1200
2020-01-14,35.0,35.0,35.0,35.0,2300
2020-01-15,34.0,34.0,34.0,34.0,200
2020-01-16,34.0,34.0,34.0,34.0,0
2020-01-17,32.0,32.0,32.0,32.0,300
2020-01-20,32.0,32.0,32.0,32.0,0
2020-01-21,31.0,31.0,31.0,31.0,100
2020-01-22,30.0,30.0,30.0,30.0,100
2020-01-23,29.0,29.0,29.0,29.0,100
2020-01-24,28.0,28.0,28.0,28.0,700
2020-01-27,27.0,27.0,27.0,27.0,300
2020-01-28,27.0,27.0,27.0,27.0,0
2020-01-29,27.0,27.0,27.0,27.0,0
2020-01-30,25.0,25.0,25.0,25.0,100
2020-01-31,25.0,25.0,25.0,25.0,0
2020-02-03,25.0,25.0,25.0,25.0,0
2020-02-04,25.0,25.0,25.0,25.0,0
2020-02-05,24.0,24.0,24.0,24.0,500
2020-02-06,24.0,24.0,24.0,24.0,0
2020-02-07,24.0,24.0,24.0,24.0,0
2020-02-10,23.0,23.0,23.0,23.0,100
2020-02-11,23.0,23.0,23.0,23.0,0
2020-02-12,22.0,22.0,22.0,22.0,200
2020-02-13,22.0,22.0,22.0,22.0,0
2020-02-14,21.0,21.0,21.0,21.0,300
2020-02-17,20.0,20.0,20.0,20.0,200
2020-02-18,19.0,19.0,19.0,19.0,200
2020-02-19,19.0,19.0,19.0,19.0,0
2020-02-20,19.0,19.0,19.0,19.0,0
2020-02-24,18.0,18.0,18.0,18.0,200
2020-02-25,17.0,17.0,17.0,17.0,500
2020-02-26,17.0,17.0,17.0,17.0,0
2020-02-27,17.0,17.0,17.0,17.0,0
2020-02-28,17.0,17.0,17.0,17.0,0
2020-03-02,17.0,17.0,17.0,17.0,0
2020-03-03,17.0,17.0,17.0,17.0,0
2020-03-04,17.0,17.0,17.0,17.0,0
2020-03-05,16.0,16.0,16.0,16.0,200
2020-03-06,15.0,15.0,15.0,15.0,300
2020-03-09,15.0,16.0,14.0,14.0,700
2020-03-11,14.0,16.0,14.0,15.0,2100
2020-03-12,14.0,14.0,14.0,14.0,0
2020-03-13,14.0,14.0,14.0,14.0,0
2020-03-16,14.0,14.0,14.0,14.0,0
2020-03-17,13.0,13.0,13.0,13.0,100
2020-03-18,12.0,12.0,12.0,12.0,500
2020-03-19,11.0,11.0,11.0,11.0,100
2020-03-20,11.0,11.0,11.0,11.0,0
2020-03-23,11.0,11.0,11.0,11.0,0
2020-03-24,10.0,10.0,10.0,10.0,400
2020-03-25,9.0,9.0,9.0,9.0,1100
2020-03-26,8.0,9.0,8.0,9.0,1500
2020-03-27,9.0,9.0,7.0,7.0,5200
2020-03-30,10.0,10.0,9.0,10.0,3300
2020-03-31,11.0,11.0,11.0,11.0,1100
2020-04-01,12.0,12.0,12.0,12.0,100
2020-04-03,13.0,13.0,13.0,13.0,200
2020-04-07,14.0,14.0,14.0,14.0,100
2020-04-08,14.0,14.0,14.0,14.0,0
2020-04-09,15.0,15.0,15.0,15.0,100
2020-04-13,16.0,16.0,16.0,16.0,100
2020-04-15,17.0,17.0,17.0,17.0,300
2020-04-16,16.0,18.0,16.0,18.0,3000
2020-04-17,15.0,16.0,15.0,16.0,700
2020-04-20,14.0,14.0,14.0,14.0,900
2020-04-21,13.0,13.0,13.0,13.0,1100
2020-04-22,12.0,13.0,12.0,12.0,1700
2020-04-23,13.0,13.0,13.0,13.0,2600
2020-04-24,13.0,13.0,13.0,13.0,0
2020-04-27,13.0,13.0,13.0,13.0,200
2020-04-28,14.0,14.0,14.0,14.0,400
2020-04-29,15.0,15.0,15.0,15.0,500
2020-04-30,16.0,16.0,16.0,16.0,300
2020-05-04,17.0,17.0,15.0,17.0,2000
2020-05-05,18.0,18.0,17.0,17.0,1400
2020-05-06,18.0,18.0,18.0,18.0,0
2020-05-07,20.0,20.0,20.0,20.0,100
2020-05-08,21.0,21.0,21.0,21.0,200
2020-05-11,22.0,22.0,22.0,22.0,600
2020-05-12,22.0,22.0,22.0,22.0,0
2020-05-13,22.0,22.0,22.0,22.0,0
2020-05-14,22.0,22.0,22.0,22.0,0
2020-05-15,22.0,22.0,22.0,22.0,0
2020-05-18,22.0,22.0,22.0,22.0,0
2020-05-19,22.0,22.0,22.0,22.0,0
2020-05-20,22.0,22.0,22.0,22.0,0
2020-05-21,22.0,22.0,22.0,22.0,0
2020-05-22,22.0,22.0,22.0,22.0,0
2020-05-26,31.0,31.0,31.0,31.0,4000
2020-05-27,32.0,32.0,32.0,32.0,4000
2020-05-28,33.0,33.0,33.0,33.0,4000
2020-05-29,34.0,34.0,34.0,34.0,1300
2020-06-01,35.0,35.0,35.0,35.0,1300
2020-06-02,36.0,36.0,36.0,36.0,200
2020-06-03,37.0,37.0,37.0,37.0,100
2020-06-04,38.0,38.0,38.0,38.0,100
2020-06-05,39.0,39.0,39.0,39.0,500
2020-06-08,39.0,40.0,38.0,40.0,2700
2020-06-09,38.0,39.0,38.0,39.0,800
2020-06-10,37.0,37.0,37.0,37.0,500
2020-06-11,37.0,37.0,37.0,37.0,900
2020-06-12,36.0,36.0,36.0,36.0,1000
2020-06-15,36.0,36.0,36.0,36.0,300
2020-06-16,35.0,35.0,35.0,35.0,600
2020-06-17,34.0,34.0,34.0,34.0,200
2020-06-18,33.0,33.0,33.0,33.0,200
2020-06-19,32.0,32.0,32.0,32.0,400
2020-06-22,31.0,31.0,31.0,31.0,800
2020-06-23,30.0,30.0,30.0,30.0,300
2020-06-24,30.0,31.0,29.0,29.0,1500
2020-06-25,31.0,31.0,31.0,31.0,100
2020-06-26,32.0,32.0,32.0,32.0,300
2020-06-29,33.0,33.0,33.0,33.0,200
2020-06-30,34.0,34.0,34.0,34.0,400
2020-07-01,34.0,34.0,34.0,34.0,0
2020-07-02,35.0,35.0,35.0,35.0,200
2020-07-03,35.0,35.0,34.0,35.0,400
2020-07-06,36.0,36.0,35.0,35.0,400
2020-07-07,37.0,37.0,36.0,37.0,1100
2020-07-08,38.0,38.0,38.0,38.0,1100
2020-07-09,37.0,38.0,37.0,38.0,700
2020-07-10,37.0,37.0,37.0,37.0,0
2020-07-13,38.0,38.0,36.0,37.0,1300
2020-07-14,38.0,38.0,38.0,38.0,600
2020-07-15,38.0,38.0,38.0,38.0,0
2020-07-16,38.0,39.0,38.0,38.0,300
2020-07-17,37.0,37.0,37.0,37.0,100
2020-07-20,37.0,37.0,37.0,37.0,100
2020-07-21,37.0,37.0,37.0,37.0,400
2020-07-22,37.0,37.0,37.0,37.0,0
2020-07-23,38.0,38.0,38.0,38.0,300
2020-07-24,37.0,37.0,37.0,37.0,100
2020-07-27,37.0,37.0,37.0,37.0,100
2020-07-28,37.0,37.0,37.0,37.0,0
2020-07-29,37.0,37.0,37.0,37.0,0
2020-07-30,37.0,37.0,37.0,37.0,0
2020-07-31,37.0,37.0,37.0,37.0,0
2020-08-03,37.0,37.0,37.0,37.0,0
2020-08-04,37.0,37.0,37.0,37.0,0
2020-08-05,38.0,38.0,36.0,36.0,3500
2020-08-06,37.0,37.0,37.0,37.0,200
2020-08-07,37.0,37.0,37.0,37.0,100
2020-08-10,37.0,37.0,37.0,37.0,100
2020-08-11,37.0,37.0,37.0,37.0,100
2020-08-12,37.0,37.0,37.0,37.0,0
2020-08-13,38.0,38.0,38.0,38.0,100
2020-08-14,38.0,38.0,37.0,37.0,300
2020-08-17,38.0,38.0,38.0,38.0,0
2020-08-18,38.0,38.0,38.0,38.0,0
2020-08-19,38.0,38.0,38.0,38.0,0
2020-08-20,39.0,39.0,39.0,39.0,300
2020-08-21,40.0,40.0,40.0,40.0,400
2020-08-24,39.0,39.0,39.0,39.0,100
2020-08-25,38.0,39.0,38.0,39.0,400
2020-08-26,37.0,37.0,37.0,37.0,400
2020-08-27,36.0,36.0,36.0,36.0,100
2020-08-28,35.0,35.0,35.0,35.0,400
2020-08-31,34.0,34.0,34.0,34.0,400
2020-09-01,34.0,34.0,34.0,34.0,0
2020-09-02,34.0,34.0,34.0,34.0,0
2020-09-03,34.0,34.0,34.0,34.0,0
2020-09-04,34.0,34.0,34.0,34.0,0
2020-09-07,34.0,34.0,34.0,34.0,0
2020-09-08,33.0,33.0,33.0,33.0,200
2020-09-09,33.0,33.0,33.0,33.0,0
2020-09-10,32.0,32.0,32.0,32.0,700
2020-09-11,31.0,31.0,31.0,31.0,100
2020-09-14,30.0,30.0,30.0,30.0,400
2020-09-15,30.0,30.0,30.0,30.0,0
2020-09-16,29.0,29.0,29.0,29.0,100
2020-09-17,28.0,28.0,28.0,28.0,100
2020-09-18,27.0,27.0,27.0,27.0,200
2020-09-21,26.0,26.0,26.0,26.0,200
2020-09-22,25.0,25.0,25.0,25.0,200
2020-09-23,24.0,24.0,24.0,24.0,100
2020-09-24,24.0,24.0,24.0,24.0,0
2020-09-25,24.0,24.0,24.0,24.0,0
2020-09-28,23.0,24.0,23.0,24.0,400
2020-09-29,23.0,23.0,23.0,23.0,0
2020-09-30,23.0,23.0,23.0,23.0,0
2020-10-01,23.0,23.0,23.0,23.0,0
2020-10-05,23.0,23.0,23.0,23.0,0
2020-10-06,23.0,23.0,23.0,23.0,0
2020-10-07,22.0,22.0,22.0,22.0,3900
2020-10-08,21.0,21.0,21.0,21.0,500
