Date,Open,High,Low,close,Volume
2020-01-01,6.0,7.0,6.0,7.0,595
2020-01-02,5.5,6.5,5.5,6.0,901
2020-01-03,5.5,6.0,5.5,5.5,324
2020-01-06,6.0,6.0,5.5,5.5,160
2020-01-07,6.5,6.5,6.0,6.0,1524
2020-01-08,6.5,7.0,6.0,6.0,1202
2020-01-09,6.5,7.0,6.0,6.0,2991
2020-01-10,7.0,7.0,6.0,7.0,2361
2020-01-13,6.5,7.5,6.5,6.5,1188
2020-01-14,6.5,7.0,6.5,6.5,226
2020-01-15,6.0,6.5,6.0,6.0,1779
2020-01-16,6.5,6.5,6.0,6.0,1517
2020-01-17,6.5,7.0,6.0,6.0,462
2020-01-20,6.0,6.0,6.0,6.0,14
2020-01-21,6.0,6.5,6.0,6.5,783
2020-01-22,5.5,6.5,5.5,5.5,254
2020-01-23,6.0,6.0,5.0,5.5,1722
2020-01-24,6.0,6.5,6.0,6.0,676
2020-01-27,6.0,6.5,6.0,6.5,711
2020-01-28,6.0,6.5,5.5,5.5,242
2020-01-29,6.5,6.5,5.5,5.5,937
2020-01-30,6.0,7.0,6.0,7.0,210
2020-01-31,6.5,6.5,6.0,6.0,252
2020-02-03,5.5,6.5,5.5,5.5,2702
2020-02-04,5.0,6.0,5.0,5.5,5386
2020-02-05,5.5,5.5,5.0,5.5,492
2020-02-06,5.0,5.5,5.0,5.0,945
2020-02-07,4.5,5.0,4.5,5.0,212
2020-02-10,5.0,5.0,4.5,4.5,115
2020-02-11,5.5,5.5,5.0,5.0,111
2020-02-12,5.5,5.5,5.0,5.5,111
2020-02-13,5.0,5.5,5.0,5.5,120
2020-02-14,5.0,5.5,4.5,4.5,304
2020-02-17,4.5,5.5,4.5,5.5,105
2020-02-18,4.5,4.5,4.5,4.5,0
2020-02-19,4.0,4.5,4.0,4.5,149
2020-02-20,4.0,4.5,4.0,4.5,77
2020-02-24,4.0,4.0,3.5,4.0,605
2020-02-25,4.0,4.0,3.5,3.5,3103
2020-02-26,3.5,4.0,3.5,4.0,957
2020-02-27,4.0,4.0,3.5,3.5,224
2020-02-28,3.5,3.5,3.5,3.5,99
2020-03-02,3.5,4.0,3.5,3.5,255
2020-03-03,4.0,4.0,3.0,3.0,465
2020-03-04,4.0,4.0,4.0,4.0,0
2020-03-05,4.5,4.5,4.0,4.0,123
2020-03-06,4.0,4.5,4.0,4.5,1145
2020-03-09,3.5,4.0,3.5,3.5,845
2020-03-11,3.5,3.5,3.0,3.0,570
2020-03-12,3.0,3.0,3.0,3.0,5185
2020-03-13,3.5,3.5,2.5,2.5,1571
2020-03-16,4.0,4.0,3.0,3.0,1047
2020-03-17,3.5,4.5,3.5,3.5,365
2020-03-18,4.0,4.0,3.0,3.0,3372
2020-03-19,4.0,4.5,3.5,4.5,235
2020-03-20,4.0,4.5,4.0,4.5,5773
2020-03-23,3.5,3.5,3.5,3.5,10
2020-03-24,3.0,3.0,3.0,3.0,6448
2020-03-25,3.5,3.5,2.5,2.5,37
2020-03-26,4.0,4.0,3.5,4.0,997
2020-03-27,3.5,4.5,3.5,3.5,1992
2020-03-30,4.0,4.0,3.0,3.0,405
2020-03-31,3.5,3.5,3.5,3.5,2750
2020-04-01,3.5,4.0,3.0,3.0,2125
2020-04-03,4.0,4.0,3.0,3.5,1950
2020-04-07,4.0,4.0,3.5,4.0,2763
2020-04-08,4.5,4.5,3.5,3.5,2101
2020-04-09,4.5,4.5,4.0,4.0,1166
2020-04-13,4.5,4.5,4.0,4.0,1004
2020-04-15,5.0,5.0,4.0,4.0,4283
2020-04-16,4.5,5.0,4.5,5.0,235
2020-04-17,5.0,5.0,4.5,4.5,2623
2020-04-20,5.5,5.5,5.0,5.0,765
2020-04-21,6.0,6.0,5.5,6.0,3688
2020-04-22,6.0,6.5,6.0,6.5,3200
2020-04-23,6.5,6.5,6.0,6.0,373
2020-04-24,7.0,7.0,6.5,7.0,1934
2020-04-27,7.0,7.0,6.5,6.5,6692
2020-04-28,7.5,7.5,7.0,7.0,1854
2020-04-29,8.0,8.0,8.0,8.0,1995
2020-04-30,7.5,8.5,7.5,8.5,5552
2020-05-04,7.0,8.0,7.0,7.5,759
2020-05-05,6.5,7.0,6.5,7.0,1762
2020-05-06,6.0,6.0,6.0,6.0,2557
2020-05-07,6.0,6.0,6.0,6.0,226
2020-05-08,5.5,5.5,5.5,5.5,127
2020-05-11,5.0,5.5,5.0,5.5,1890
2020-05-12,4.5,4.5,4.5,4.5,2680
2020-05-13,5.0,5.0,4.0,4.5,2668
2020-05-14,5.5,5.5,5.0,5.0,621
2020-05-15,5.5,6.0,5.0,6.0,1418
2020-05-18,6.0,6.0,5.0,5.0,2678
2020-05-19,6.0,6.5,5.5,5.5,1524
2020-05-20,6.0,6.5,5.5,6.0,1745
2020-05-21,5.5,6.0,5.5,5.5,1426
2020-05-22,5.5,6.0,5.5,5.5,1478
2020-05-26,6.0,6.0,5.0,5.0,670
2020-05-27,6.0,6.5,5.5,5.5,4113
2020-05-28,5.5,6.5,5.5,6.0,341
2020-05-29,6.0,6.0,5.5,5.5,3582
2020-06-01,6.5,6.5,5.5,6.0,1125
2020-06-02,6.5,6.5,6.0,6.0,1029
2020-06-03,7.0,7.0,6.0,6.5,3242
2020-06-04,7.5,7.5,7.0,7.0,2326
2020-06-05,8.0,8.0,7.5,7.5,3777
2020-06-08,7.5,8.5,7.5,8.5,10505
2020-06-09,7.5,8.0,7.0,7.0,5763
2020-06-10,7.5,7.5,7.0,7.0,6859
2020-06-11,7.0,7.5,7.0,7.5,742
2020-06-12,7.0,7.0,6.5,6.5,4684
2020-06-15,7.0,7.5,6.5,7.0,4570
2020-06-16,6.5,7.0,6.5,6.5,1452
2020-06-17,6.5,7.0,6.5,7.0,15555
2020-06-18,7.0,7.0,6.5,7.0,13902
2020-06-19,7.5,7.5,7.0,7.5,7160
2020-06-22,8.0,8.0,7.0,7.5,3828
2020-06-23,8.5,8.5,8.5,8.5,5176
2020-06-24,9.0,9.0,9.0,9.0,2149
2020-06-25,9.5,9.5,9.5,9.5,724
2020-06-26,10.0,10.0,10.0,10.0,13525
2020-06-29,10.5,10.5,10.5,10.5,2932
2020-06-30,11.0,11.0,11.0,11.0,1414
2020-07-01,11.5,11.5,11.5,11.5,2279
2020-07-02,12.0,12.0,12.0,12.0,10879
2020-07-03,12.5,12.5,12.5,12.5,5016
2020-07-06,12.0,13.0,12.0,13.0,7430
