Date,Open,High,Low,close,Volume
2020-01-01,28.5,31.5,28.5,28.5,637
2020-01-02,30.0,30.0,27.0,30.0,241
2020-01-03,31.5,31.5,28.5,30.0,583
2020-01-06,30.0,33.0,30.0,33.0,615
2020-01-07,31.5,31.5,28.5,31.5,520
2020-01-08,30.0,33.0,30.0,30.0,461
2020-01-09,30.0,31.5,28.5,31.5,237
2020-01-10,31.5,31.5,28.5,28.5,477
2020-01-13,30.0,31.5,30.0,30.0,368
2020-01-14,30.0,30.0,30.0,30.0,108
2020-01-15,30.0,30.0,28.5,28.5,247
2020-01-16,31.5,31.5,28.5,28.5,280
2020-01-17,31.5,31.5,30.0,31.5,328
2020-01-20,30.0,33.0,30.0,31.5,502
2020-01-21,28.5,31.5,28.5,28.5,817
2020-01-22,28.5,30.0,27.0,27.0,478
2020-01-23,28.5,30.0,27.0,27.0,275
2020-01-24,30.0,30.0,27.0,28.5,1504
2020-01-27,30.0,30.0,28.5,28.5,59
2020-01-28,28.5,30.0,28.5,28.5,350
2020-01-29,28.5,30.0,27.0,27.0,270
2020-01-30,28.5,30.0,27.0,27.0,127
2020-01-31,30.0,30.0,28.5,30.0,720
2020-02-03,27.0,27.0,27.0,27.0,563
2020-02-04,27.0,27.0,25.5,27.0,293
2020-02-05,25.5,27.0,25.5,25.5,544
2020-02-06,27.0,27.0,25.5,25.5,549
2020-02-07,27.0,27.0,25.5,25.5,83
2020-02-11,27.0,28.5,25.5,27.0,1128
2020-02-12,25.5,27.0,25.5,25.5,47
2020-02-13,25.5,25.5,25.5,25.5,685
2020-02-14,27.0,27.0,27.0,27.0,111
2020-02-17,28.5,28.5,27.0,27.0,609
2020-02-18,30.0,30.0,27.0,28.5,1459
2020-02-19,28.5,31.5,28.5,31.5,661
2020-02-20,30.0,30.0,28.5,28.5,409
2020-02-24,30.0,31.5,28.5,28.5,1495
2020-02-25,31.5,31.5,31.5,31.5,653
2020-02-26,33.0,33.0,31.5,31.5,712
2020-02-27,33.0,34.5,31.5,31.5,111
2020-02-28,31.5,34.5,31.5,31.5,108
2020-03-02,33.0,33.0,30.0,30.0,799
2020-03-03,33.0,33.0,31.5,31.5,795
2020-03-04,34.5,34.5,33.0,33.0,375
2020-03-05,33.0,34.5,33.0,34.5,274
2020-03-06,31.5,33.0,31.5,33.0,432
2020-03-09,30.0,33.0,30.0,31.5,965
2020-03-11,31.5,31.5,28.5,28.5,384
2020-03-12,31.5,33.0,30.0,30.0,813
2020-03-13,31.5,33.0,30.0,30.0,1229
2020-03-16,30.0,30.0,30.0,30.0,521
2020-03-17,28.5,31.5,28.5,28.5,477
2020-03-18,27.0,30.0,27.0,27.0,744
2020-03-19,28.5,28.5,25.5,25.5,152
2020-03-20,27.0,30.0,27.0,27.0,66
2020-03-23,27.0,28.5,25.5,27.0,721
2020-03-24,28.5,28.5,25.5,25.5,303
2020-03-25,27.0,27.0,27.0,27.0,195
2020-03-26,27.0,27.0,25.5,25.5,366
2020-03-27,27.0,27.0,25.5,25.5,845
2020-03-30,27.0,28.5,25.5,28.5,338
2020-03-31,25.5,28.5,25.5,27.0,139
2020-04-01,24.0,27.0,24.0,25.5,308
2020-04-03,25.5,25.5,24.0,24.0,54
2020-04-07,27.0,27.0,24.0,27.0,1587
2020-04-08,28.5,28.5,25.5,27.0,1276
2020-04-09,27.0,28.5,27.0,28.5,397
2020-04-13,27.0,28.5,25.5,28.5,1680
2020-04-15,28.5,28.5,27.0,27.0,374
2020-04-16,28.5,28.5,27.0,27.0,1757
2020-04-17,27.0,28.5,27.0,27.0,781
2020-04-20,28.5,28.5,27.0,28.5,1003
2020-04-21,30.0,30.0,27.0,28.5,440
